name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
The New York Times,newyorktimes,1851,1851-09-18,,,,"3,790",www.nytimes.com,$250M,$1.7B,"New York, New York",Public,1978-01-13,Y,NYSE,NYT,News Corp,Time Inc.,THE WALL STREET JOURNAL,FORTUNE,The Washington Post,Bloomberg,GANNETT,HEARST,,,
News Corp,newscorporation,1979,,,,,"28,000",newscorp.com,$12.5M,$8.4B,"New York, New York",Public,2013-06-28,Y,NASDAQ,NWSA,McGRAW HILL FINANCIAL,SUNGARD,Valassis,ITN,The Walt Disney Company,CBS CORPORATION,Colors,CUMULUS,,,
Time Inc.,time,1922,1922-11-28,,2018-02-26,electra-partners,"7,450",www.ti-media.com,,$2.9B,"New York, New York",Public,2014-05-30,Epiris,NYSE,TIME,The New York Times,News Corp,GANNETT,HEARST,COX Media,McCLATCHY,SCRIPPS,ACBJ,,,"Changed name to ""TI Media"""
THE WALL STREET JOURNAL,wall-street-journal,1889,1889-07-08,,,,"2,200",wsj.com,,$420.5M,"New York, New York",Private,,Dow Jones & Company,,,The New York Times,FINANCIAL TIMES,Forbes,USA TODAY,The Economist,The Guardian,FORTUNE,The Economist Group,,,
FORTUNE,fortune-magazine,1930,,,,,"7,500",fortune.com,,$1.1B,"New York, New York",Product/Brand/Service,,Time Inc,,,THE WALL STREET JOURNAL,FAST COMPANY,Harvard Business Review,Entrepreneur,Bloomberg,The New York Times,Forbes,BUSINESS INSIDER,,,
The Washington Post,washington-post,1877,1877-01-01,,,,"1,339",washingtonpost.com,,$709M,"Washington, District of Columbia",Private,,Graham Holdings Company,,,The Guardian,Tribune Publishing,The New York Times,Time Inc.,The Telegraph,News Corp,POLITICO,THE WALL STREET JOURNAL,,,
Bloomberg,bloomberg,1981,1981-01-01,,,,"19,000",bloomberg.com,$75M,$9.4B,"New York, New York",Private,,Y,,,THOMSON REUTERS,PitchBook,DOW JONES,Mergermarket,Preqin,Tradeweb,RELX Group,S&P Global,,,
GANNETT,gannett,1906,,,,,"15,300",gannett.com,,$3.1B,"McLean, Virginia",Public,1978-01-13,Y,NYSE,GCI,HEARST,Meredith,COX Media,McCLATCHY,ACBJ,SCRIPPS,AOL,Time Inc.,,,
HEARST,hearstcorporation,1887,1887-03-04,,,,"20,000",hearst.com,,$10.8B,"New York, New York",Private,,Y,,,Meredith,Time Inc.,GANNETT,"ENGAGED MEDIA, INC.",BMJ,BBC,The New York Times,McCLATCHY,,,
McGRAW HILL FINANCIAL,mcgraw-hill-financial,1888,,,,,"20,400",www.spglobal.com,,$6.1B,"New York, New York",Public,,Y,NYSE,MHFI,THOMSON REUTERS,MOODY'S,Fitch Ratings,Bloomberg,Lex Machina,S&P Global,UZABASE,LexisNexis,,,"Changed name to ""S&P Global"""
SUNGARD,sungard,1982,,,2015-08-12,fis,"11,731",sungard.com,$316M,$2.7B,"Wayne, Pennsylvania",Private,,"Fidelity National Information Services, Inc.",,,Broadridge,SS&C,SS&C ADVENT,Fidessa,CALYPSO,MUREX,MISYS,OpenLink,,,
Valassis,valassis,1970,,,2013-12-18,harland-clarke-holdings,"3,000",valassis.com,,$2.4B,"Livonia, Michigan",Private,,Harland Clarke Corp.,NYSE,VCI,NEWS AMERICA MARKETING,Insignia,News Corp,Orlando Sentinel,Invisipon,Inmar,Mspark,REVTRAX,,,
ITN,itn-2,1954,,,,,97,itn.co.uk,,$9.6M,"London, England",Private,,Y,,,News Corp,Sky,Channel 4,BBC,WAZEE DIGITAL,ITV,BT,Channel 5,,,
The Walt Disney Company,the-walt-disney-company,1923,1923-10-16,,,,"199,000",thewaltdisneycompany.com,,$57.5B,"Lake Buena Vista, Florida",Public,1978-01-13,Y,NYSE,DIS,Viacom,News Corp,COMCAST,CBS CORPORATION,Discovery Communications,NBCUniversal,Sony Pictures,UNIVERSAL,,,
CBS CORPORATION,cbs-corporation,1928,,,,,"12,700",cbscorporation.com,,$14.3B,"New York, New York",Public,2005-12-16,Y,NYSE,CBS,News Corp,CUMULUS,COMCAST SPOTLIGHT,NBC,FOX,WARNER BROS.,Townsquare,Entercom,,,
Colors,,2007,2007-11,,,,,colorstv.com,,,"Mumbai, India",Private,,Y,,,,,,,,,,,,,
CUMULUS,cumulus-media-partners,1997,,,,,"3,515",cumulus.com,$106.4M,$1.1B,"Atlanta, Georgia",Public,2017-11-22,Y,OTCPINK,CMIA,Entercom,Townsquare,iHeartMEDIAINC,iHeartRADIO,Pandora,HGST,TUNEIN,LIVE365,,,
COX Media,cox-media,1981,,,,,"1,067",coxmedia.com,,$109.5M,"Brookhaven, Georgia",Private,,"Cox Enterprises, Inc.",,,CBS RADIO,Emmis,RADIO ONE,GANNETT,SiriusXM,Entercom,A.H. BELO CORPORATION,Pandora,,,
McCLATCHY,the-mcclatchy-company,1857,,,,,"3,900",mcclatchy.com,,$835.4M,"Sacramento, California",Public,1998-02-12,Y,NYSE,MNI,GANNETT,SCRIPPS,LEE ENTERPRISES,HEARST,Meredith,COX Media,ACBJ,AOL,,,
SCRIPPS,e-w-scripps,1878,,,,,"4,100",scripps.com,,$29.7M,"Cincinnati, Ohio",Public,1996-11-22,Y,NASDAQ,SSP,GANNETT,McCLATCHY,LEE ENTERPRISES,The New York Times,HEARST,Time Inc.,Meredith,COX Media,,,
ACBJ,american-city-business-journals,1985,,,,,"2,056",acbj.com,,$80M,"Charlotte, North Carolina",Private,,Advance Publications,,,DOW JONES,CRAIN,THE WALL STREET JOURNAL,ACCESS INTELLIGENCE,BUSINESS INSIDER,LinkedIn,THOMSON REUTERS,Bloomberg,,,
FINANCIAL TIMES,financial-times,1888,,,2015-07-23,nikkei,"2,208",ft.com,,$796.3M,"London, England",Private,,"Nikkei, Inc.",,,THE WALL STREET JOURNAL,The Economist Group,The Economist,The New York Times,Forbes,USA TODAY,The Guardian,The Washington Post,,,
Forbes,forbes,1917,,,,,"2,950",forbes.com,,$150M,"Jersey City, New Jersey",Private,,Y,,,THE WALL STREET JOURNAL,The New York Times,FINANCIAL TIMES,FORTUNE,The Economist Group,Entrepreneur,TIME,Inc.,,,
USA TODAY,usa-today,1982,,,,,"1,525",usatoday.com,,$390M,"McLean, Virginia",Private,,Ganett,,,Tribune Publishing,THE WALL STREET JOURNAL,The New York Times,The Guardian,FINANCIAL TIMES,Time Inc.,Forbes,The Economist,,,
The Economist,ideas-people-media,1843,1843-09-01,,,,"1,747",economist.com,,$678.8M,"London, England",Private,,Y,,,THE WALL STREET JOURNAL,FINANCIAL TIMES,The New York Times,Forbes,The Economist Group,USA TODAY,The Guardian,Time Inc.,,,
The Guardian,the-guardian,1821,1821-01-01,,,,"10,551",theguardian.com,$3M,$255M,"London, England",Private,,Y,,,The Telegraph,INDEPENDENT,News UK,FOR SALE BY OWNER,Sun Life Financial,The Economist Group,STANDARD Digital,The New York Times,,,
The Economist Group,the-economist-group,1843,,,,,"1,535",economistgroup.com,$447.1M,$493.8M,"London, England",Private,,Y,,,The New York Times,FINANCIAL TIMES,Forbes,THE WALL STREET JOURNAL,Time Inc.,USN,News Corp,The Telegraph,,,
FAST COMPANY,fast-company,1995,,,,,387,fastcompany.com,,$21.9M,"New York, New York",Private,,Mansueto Ventures,,,WIRED,Entrepreneur,BuzzFeed,NationSwell,CARPLACE,FORTUNE,Harvard Business Review,GIGAOM,,,
Harvard Business Review,harvard-business-review,1922,,,,,240,hbr.org,,$16.1M,"Boston, Massachusetts",NGO/NPO/NFP/Organization/Association,,Harvard University,,,THE WALL STREET JOURNAL,FORTUNE,FAST COMPANY,The New York Times,ABA,IW,FINANCIAL TIMES,Forbes,,,
Entrepreneur,entrepreneur-com,1973,,,,,93,entrepreneur.com,,$45.9M,"Irvine, California",Private,,Y,,,Small Business TRENDS,Southern California Firewoord,Psychicleo,California Dental Institute,Superior Storage Tanks,Marklet,Judy Neal,EljayTunes,,,
BUSINESS INSIDER,business-insider,2007,2007-05-01,,2015-09-29,axel-springer,285,businessinsider.com,$55.6M,$18.1M,"New York, New York",Private,,US Business Funding,,,Mashable,TC,VentureBeat,BuzzFeed,TNW,FORTUNE,Entrepreneur,THE BUSINESS JOURNAL,,,
Tribune Publishing,the-tribune-company,1847,1847-06-10,,,,"7,595",tribpub.com,$70.5M,$1.5M,"Chicago, Illinois",Public,2014-07-25,"Gannett Co., Inc.",NASDAQ,TRNC,The Guardian,Time Inc.,The New York Times,AOL,News Corp,COX Media,McCLATCHY,HEARST,,,"Changed name to ""Tronc"""
The Telegraph,telegraph-media-group,1948,,,,,"1,800",telegraph.co.uk,,$471.4M,"London, England",Private,,Y,,,The Guardian,INDEPENDENT,News UK,STANDARD Digital,The Economist Group,The New York Times,FOR SALE BY OWNER,News Corp,,,
POLITICO,politico,2010,,,,,498,politico.com,,$47.5M,"Arlington, Virginia",Private,,Y,,,The Fiscal Times,Bloomberg GOVERNMENT,LEGISTORM,The New York Times,CQ ROLL CALL,HUFFPOST,Bloomberg BNA,The Washington Post,,,
THOMSON REUTERS,thomson-reuters,2008,2008-04-17,,,,"46,100",thomsonreuters.com,,$11.3B,"Toronto, Ontario",Public,2002-06-21,Y,NYSE,TRI,Bloomberg,S&P Global,Lex Machina,LexisNexis,McGRAW HILL FINANCIAL,PitchBook,DOW JONES,RELX Group,,,
PitchBook,pitchbook-data,2007,,,2016-10-14,morningstar,431,pitchbook.com,$13.8M,$46M,"Seattle, Washington",Private,,"Morningstar, Inc.",,,Tracxn,InsideView,DataFox,Owler,Dun & Bradstreet,ZoomInfo,DueDil,PrivCo,,,
DOW JONES,dow-jones,1882,1882-04-01,,2007-12-13,newscorporation,"4,374",dowjones.com,,$1.6B,"New York, New York",Private,,News Corporation,,,THOMSON REUTERS,Bloomberg,LexisNexis,PitchBook,S&P Global,Lex Machina,BUREAU VAN DIJK,McGRAW HILL FINANCIAL,,,
Mergermarket,mergermarket,2000,,,,,550,mergermarket.com,,$35M,"New York, New York",Private,,Acuris,,,Bloomberg,THOMSON REUTERS,Dealogic,S&P Global,The Deal,PitchBook,DOW JONES,Lex Machina,,,
Preqin,preqin,2002,,,,,353,preqin.com,,$32.1M,"New York, New York",Private,,Y,,,PitchBook,S&P Global,CB INSIGHTS,FACTSET,THOMSON REUTERS,Tracxn,DataFox,Owler,,,
Tradeweb,tradeweb,1997,,,,,850,tradeweb.com,$610.5M,$500M,"New York, New York",Private,,Thomson Reuters,,,ALGOMI,TrueEX,MarketAxess,MTS,NEX,AIREX MARKET,OSIsoft,MOOG,,,
RELX Group,reed-elsevier-plc,1984,,,,,"30,000",relx.com,,$8.5B,"London, England",Public,1999-04-01,Y,AMS,REN,Wolters Kluwer,THOMSON REUTERS,Bloomberg,UBM,Lex Machina,S&P Global,MITRATECH,SERENGETI,,,
S&P Global,capital-iq,2010,,,,,"7,333",capitaliq.com,,$669.2M,"New York, New York",Private,,S&P Global,,,THOMSON REUTERS,PitchBook,Bloomberg,FACTSET,Preqin,Lex Machina,LexisNexis,McGRAW HILL FINANCIAL,,,
Meredith,meredith,1902,,,2015-09-08,media-general,"3,500",meredith.com,$650M,$1.9B,"Des Moines, Iowa",Public,2010-01-29,Time Inc.,FRA,MEZ,HEARST,GANNETT,The New York Times,McCLATCHY,News Corp,COX Media,ACBJ,SCRIPPS,,,
AOL,aol,1985,1985-05-24,,2015-05-12,verizon,"4,350",aol.com,$1B,$2.6B,"New York, New York",Public,2009-12-10,Oath,NYSE,AOL,Google,IAC,VOX MEDIA,TAPAD,BuzzFeed,Microsoft,Apple,Box,,,"The first company that reached ""Google"""
"ENGAGED MEDIA, INC.",,2008,,,,,100,engagedmediamags.com,,$15M,"Dallas, Texas",Private,,Y,,,Televisa,GTxcel,DAVLER MEDIA,TV AZTECA,Issuu,PRODU,Hoffmann,Meredith,,,No information on Crunchbase
BMJ,bmj-group,1840,1840-10-03,,,,447,bmj.com,,$77.3M,"London, England",Private,,BMJ Publishing Group Ltd.,,,Wolters Kluwer,ELSEVIER,WILEY,NEJM GROUP,McGraw Hill Education,Taylor & Francis Group,Wiley Blackwell,Pearson,,,
BBC,bbc,1922,1922-07-19,,,,"23,000",bbc.com,,$5.2B,"London, England",Private,,Y,,,ITV,CNN,News Corp,Sky,Channel 4,Channel 5,The Walt Disney Company,STV,,,
MOODY'S,moodys-investors-service,1900,,,,,"12,000",moodys.com,,$4.4B,"New York, New York",Public,1998-07-02,Y,NYSE,MCO,Fitch Ratings,S&P Global,DBRS,MORNINGSTAR,McGRAW HILL FINANCIAL,FACTSET,Standard & Poor's,MSCI,,,
Fitch Ratings,fitch-ratings,1913,1913-12-24,,,,"3,251",fitchratings.com,,$1.9B,"London, England",Private,,The Hearst Corporation,,,MOODY'S,MORNINGSTAR,S&P Global,McGRAW HILL FINANCIAL,Standard & Poor's,DBRS,MSCI,FACTSET,,,
Lex Machina,lex-machina,2009,,,2015-11-23,lexisnexis,143,lexmachina.com,$10M,$5M,"Menlo Park, California",Private,,LexisNexis Group,,,THOMSON REUTERS,RAVEL,Bloomberg,S&P Capital IQ,PREMONITION,McGRAW HILL FINANCIAL,ALT LEGAL,Manzama,,,
UZABASE,uzabase,2008,2008-04-01,,,,63,uzabase.com,$4.5M,$1.2M,"Minato-ku, Tokyo Prefecture",Private,,Y,TYO,3966,McGRAW HILL FINANCIAL,NIKKEI,MOODY'S,THOMSON REUTERS,Fitch Ratings,S&P Global,MORNINGSTAR,DBRS,,,
LexisNexis,lexisnexis,1973,,,1994-10-05,reed-elsevier-plc,"11,458",lexisnexis.com,$30M,$2.8B,"New York, New York",Private,,RELX Group plc,,,THOMSON REUTERS,EQUIFAX,TLO,TransUnion,CoreLogic,Bloomberg,S&P Capital IQ,McGRAW HILL FINANCIAL,,,
Broadridge,broadridge,1962,,,,,"10,000",broadridge.com,,$7.3B,"New Hyde Park, New York",Public,2007-03-30,Y,NYSE,BR,SS&C,SUNGARD,ISSUERDIRECT,MESSER FINANCIAL SOFTWARE,SS&C ADVENT,Fidessa,CALYPSO,MUREX,,,
SS&C,ss-c-technologies,1986,,,2005-07-27,carlyle-group,"8,287",ssctech.com,$160.9M,$1.7B,"Windsor, Connecticut",Public,2010-03-31,Carlyle Investment Management L.L.C.,NASDAQ,SSNC,SUNGARD,Broadridge,Charles River,Electra,CALYPSO,Fidessa,MUREX,OTHERLEVELS,,,
SS&C ADVENT,advent-software,1983,,,2015-02-02,ss-c-technologies,"1,216",advent.com,,$350.3M,"San Francisco, California",Private,,"SS&C Technologies Holdings, Inc.",NASDAQ,ADVS,VANTAGE SOFTWARE,OBJECTWAY,ClearServe,VICHARA TECHNOLOGIES,Indus Valley Partners,INFORMATION MOSAIC,Electra,FundCount,,,
Fidessa,fidessa,1981,,,,,"1,705",fidessa.com,,$477.5M,"London, England",Public,1999-01-15,ION Investment Group,LON,FDSA,Ullink,TRADING TECHNOLOGIES,SS&C ADVENT,NEX Traiana,InSync Analytics,InfoReach,Cactus Wellhead,Fixnetix,,,
CALYPSO,calypso-technology,1997,,,2016-04-19,summit-partners,973,calypso.com,,$175.7M,"San Francisco, California",Private,,Y,,,MUREX,SS&C ADVENT,OpenLink,Risk Focus,MISYS,SUNGARD,ION,DerivativePATH,,,
MUREX,murex,1986,,,,,"2,051",murex.com,,$484.6M,"Paris, Île-de-France",Private,,Y,,,CALYPSO,SUNGARD,MISYS,SS&C ADVENT,OpenLink,Broadridge,SS&C,Fidessa,,,
MISYS,misys,1979,,,2017-06-14,finastra,"4,785",http://turazglobal.com,,$423.8M,"London, England",Private,,Vista Equity Partners,,,CALYPSO,TEMENOS,MUREX,Risk Focus,Avaloq,D+H,RM,SS&C ADVENT,,,
OpenLink,openlink,1992,,,2018-02-02,ion-investment-group,"1,200",openlink.com,,$375M,"Uniondale, New York",Private,,ION Investment Group,,,Eka,Allegro,DataGenic,ComplySci,STAR COMPLIANCE,Movius,ENERTIA SOFTWARE,GlobalView,,,
NEWS AMERICA MARKETING,news-america-marketing,1988,,,,,900,newsamerica.com,,$400M,"New York, New York",Private,,Y,,,Valassis,Insignia,Orlando Sentinel,Bright House Networks,News Corp,Ibotta,RetailMeNot,Vestcom,,,
Insignia,insignia-systems,1990,,,,,62,insigniasystems.com,,$31.5M,"Minneapolis, Minnesota",Public,1991-07-05,Y,NASDAQ,ISIG,NEWS AMERICA MARKETING,Valassis,Vestcom,Orlando Sentinel,News Corp,ITWAY,Invisipon,Inmar,,,
Orlando Sentinel,orlando-sentinel,1876,,,,,214,orlandosentinel.com,,$8.7M,"Orlando, Florida",Private,,Y,,,Valassis,Bright House Networks,NEWS AMERICA MARKETING,DISH,DIRECTV,CABLEVISION,Suddenlink,Verizon,,,
Invisipon,invisipon,2012,2012-04-01,,,,44,invisipon.com,,$4.8M,"Gainesville, Georgia",Private,,Y,,,Valassis,CATALINA,YOU Technology,Cellfire,NEWS AMERICA MARKETING,Ibotta,RetailMeNot,Insignia,,,
Inmar,inmar,1980,,,2017-04-04,omers-private-equity,"2,208",inmar.com,,$330.9M,"Winston Salem, North Carolina",Private,,OMERS Private Markets,,,EPIC,DataRx,Net-Rx,HighJump,Novasyte,ANALYTIC PARTNERS,IRi,NPD,,,
Mspark,mspark,1988,,,,,382,mspark.com,,$175M,"Helena, Alabama",Private,,Court Square Capital Partners L.P.,,,IMAGITAS,IWCO DIRECT,MUDLICK MAIL,DMN3,MCT,MITTERA,Kenscio,World Marketing,,,
REVTRAX,revtrax,2008,,,,,60,revtrax.com,$1.6M,$5M,"New York, New York",Private,,Y,,,CodeBroker,KOUPON MEDIA,Mobeam,Eversight,Pikato,Ibotta,Quotient,Zinmobi,,,
Sky,sky,1989,1989-02-05,,2016-12-09,21st-century-fox,"31,000",sky.com,,$15.8B,"Isleworth, England",Public,2008-11-17,"Twenty-first Century Fox, Inc.",LON,SKY,BT,ITV,STV,Orange,Deutsche Telekom,TIM,Virgin,UTV,,,
Channel 4,channel-2,1980,,,,,"1,200",channel4.com,,$760M,"London, England",Private,,Y,,,Channel 5,STV,all3media international,Tiger Aspect,Sky,BT,UTV,ARCADIS,,,
WAZEE DIGITAL,wazee-digital,2003,,,2018-08-13,veritone,184,wazeedigital.com,$55.5M,$9.2M,"Denver, Colorado",Private,,"Veritone, Inc.",,,OOYALA,Brightcove,VUBIQUITY,Clearleap,YARE,ERICSSON,TVT,ITN,,,
ITV,itv,1954,,,,,"4,257",itvplc.com,,$4.1B,"London, England",Public,2004-02-13,Y,LON,ITV,STV,BT,Sky,Orange,Deutsche Telekom,TIM,ARCADIS,JACOBS,,,
BT,bt,1980,1980-10-01,,,,"105,800",btplc.com,$68.8M,$33.3B,"London, England",Public,2001-11-16,Y,LON,BT.A,Orange,Deutsche Telekom,TIM,1&1,Deutsche Glasfaser,Fuel Broadband,Electraline,Gigaclear,,,
Channel 5,channel,1997,,,2014-05-01,viacom,486,channel5.com,,$446.7M,"London, England",Private,,Viacom Inc.,,,all3media international,Channel 4,Tiger Aspect,STV,BBC Easy,FILMDOO,Dior,Just For Laughs,,,
Viacom,viacom,1971,,,,,"10,750",viacom.com,,$12.8B,"New York, New York",Public,2005-12-16,Y,NASDAQ,VIAB,Discovery Communications,NBCUniversal,Sony Pictures,Time Warner Cable,21ST CENTURY FOX,Turner,The Walt Disney Company,A+E NETWORKS,,,
COMCAST,comcast,1963,,,,,"164,000",corporate.comcast.com,$3M,$87.4B,"Philadelphia, Pennsylvania",Public,1978-01-13,Y,NASDAQ,CMCSA,Hulu,ADT,Level 3,Vonage,CABLE ONE,Spectrum,HBO,STARZ,,,
Discovery Communications,discovery-inc,1985,1985-06-17,,,,"7,000",discovery.com,,$7.6B,"Silver Spring, Maryland",Public,2005-07-15,Y,NASDAQ,DISCA,Viacom,Turner,A+E NETWORKS,21ST CENTURY FOX,BBC,NBCUniversal,The Walt Disney Company,Sony Pictures,,,
NBCUniversal,nbcuniversal,2004,2004-05-01,,2011-01-29,comcast,"62,000",nbcuniversal.com,,$33B,"New York, New York",Private,,Comcast Corporation,,,Viacom,Turner,21ST CENTURY FOX,Discovery Communications,The Walt Disney Company,Disney–ABC Television Group,CBS CORPORATION,NETFLIX,,,
Sony Pictures,sony-pictures-entertainment,1987,,,,,"19,173",sonypictures.com,$1M,$7.1B,"Culver City, California",Private,,Sony Entertainment Inc,,,UNIVERSAL,The Walt Disney Company,Viacom,News Corp,SeaWorld Parks & Entertainment,FREMANTLEMEDIA,CBS CORPORATION,Cedar Fair,,,
UNIVERSAL,,1912,,,,,"10,000",universalstudios.com,,$4.2B,"Universal City, California",Private,,"NBCUniversal Media, LLC",,,SeaWorld Parks & Entertainment,Cedar Fair,Sony Pictures,The Walt Disney Company,Six Flags,MPR,Jerry Zhou,Viacom,,,"No single item of ""Universal Studios"" on Crunchbase"
COMCAST SPOTLIGHT,comcast-spotlight,2003,,,,,201,comcastspotlight.com,,$19.8M,"Pittsburgh, Pennsylvania",Private,,Comcast Corporation,,,CUMULUS,CBS CORPORATION,WBAL TV,WBAL,THE BALTIMORE SUN MEDIA GROUP,Dex Media,FOX45 NEWS,WBIN-TV,,,
NBC,,2004,,,,,,nbcstations.com,,,"New York City, New York",Private,,"NBC Universal, Inc.",,,News Corp,CUMULUS,COMCAST SPOTLIGHT,FOX,CBS CORPORATION,WARNER BROS.,IDG,Townsquare,,,"One of the businesses of ""NBC Universal"""
FOX,fox-interactive-media,1979,1979-06-01,,,,"12,100",fox.com,,$681.6M,"Los Angeles, California",Private,,21st Century Fox,,,CBS CORPORATION,CNN,G & G Fitness Equipment,News Corp,MTV,VH1,CUMULUS,CBS,,,
WARNER BROS.,warner-bros,1918,1918-04-04,,,,"10,000",warnerbros.com,,$13B,"Burbank, California",Private,,Time Warner Inc,,,The Walt Disney Studios,Paramount Pictures,CBS CORPORATION,The Walt Disney Company,NETFLIX,Sony Pictures,DreamWorks,News Corp,,,
Townsquare,townsquare-media,1994,,,,,"2,900",townsquaremedia.com,$228.7M,$442.8M,"Greenwich, Connecticut",Public,2014-08-14,Y,NYSE,TSQ,Entercom,iHeartMEDIAINC,CUMULUS,iHeartRADIO,Pandora,DEEZER,eLocal.com,HGST,,,
Entercom,entercom-communications,1968,,,,,"4,489",entercom.com,$334.1M,$796M,"Bala Cynwyd, Pennsylvania",Public,1999-02-05,Y,NYSE,ETM,Townsquare,iHeartMEDIAINC,iHeartRADIO,CUMULUS,Pandora,TUNEIN,LIVE365,Spotify,,,
iHeartMEDIAINC,clear-channel-communications,1972,,,,,"17,900",iheartmedia.com,$476.4M,$6.2B,"San Antonio, Texas",Public,,"CC Media Holdings, Inc.",OTCBB,IHRT,Entercom,Townsquare,CUMULUS,iHeartRADIO,Pandora,HGST,TUNEIN,LIVE365,,,
